
| Français | Português | Nível |
| prendre l'ascenseur | pegar o elevador | L4 |
| prendre l'escalier | pegar a escada | L4 |
| prendre une photo | tirar uma foto | L4 |
| prendre le goûter | comer um lanche (à tarde) | L4 |
| passer par la boulangerie | passar pela padaria | L4 |
| rendre visite à | fazer uma visita a | L4 |
| pleuvoir | chover | L4 |
| neiger | nevar | L4 |
| en famille | em família | L4 |
| agréable | agradável | L5 |
| désagréable | desagradável | L5 |
| content(e) | contente | L5 |
| fatigué(e) | cansado(a) | L5 |
| ennuyeux(euse) | chato(a) | L5 |
| drôle | engraçado(a) | L5 |
| gentil(le) | gentil | L5 |
| sympathique | simpático(a) | L5 |
| méchant(e) | mau, malvado(a) | L5 |
| difficile | difícil | L5 |
| facile | fácil | L5 |
| cher(ère) | caro(a) | L5 |
| bon marché | barato | L5 |
| court(e) | curto(a) | L5 |
| long(ue) | longo(a) | L5 |
| large | largo(a) | L5 |
| haut(e) | alto(a) | L5 |
| bas(se) | baixo(a) | L5 |
| mince | fino(a), magro(a) | L5 |
| gros(se) | gordo(a) | L5 |
| foncé(e) | escuro(a) | L5 |
| clair(e) | claro(a) | L5 |
| sombre | escuro, sombrio | L5 |
| noir(e) | preto(a) | L5 |
| blanc(he) | branco(a) | L5 |
| rouge | vermelho(a) | L5 |
| bleu(e) | azul | L5 |
| vert(e) | verde | L5 |
| jaune | amarelo(a) | L5 |
| orange | laranja | L5 |
| rose | cor-de-rosa, rosa | L5 |
| gris(e) | cinza | L5 |
| marron | marrom | L5 |
| vieux, vieille | velho(a) | L5 |
| jeune | jovem | L5 |
| nouveau, nouvelle | novo(a) | L5 |
| ancien(ne) | antigo(a) | L5 |
| dernier(ère) | último(a) | L5 |
| premier(ère) | primeiro(a) | L5 |
| prochain(e) | próximo(a) | L5 |
| même | mesmo(a) | L5 |
| autre | outro(a) | L5 |
| chaque | cada | L5 |
| certain(e) | certo(a) | L5 |
| seul(e) | sozinho(a) | L5 |
| ensemble | juntos | L5 |
| riche | rico(a) | L5 |
| pauvre | pobre | L5 |
| plus ou moins | mais ou menos | L5 |
| peut-être | talvez, pode ser | L5 |
| presque | quase | L5 |
| sans problème | sem problema | L5 |
| sur mesure | sob medida | L5 |
| prêt-à-porter | pronto para vestir | L5 |
| payer comptant, cash | pagar à vista | L5 |
| payer à crédit | pagar a crédito | L5 |
| payer par carte | pagar com cartão | L5 |
| payer par chèque | pagar com cheque | L5 |
| payer en liquide | pagar em dinheiro | L5 |
| prendre la commande | anotar o pedido | L5 |
| prendre rendez-vous | marcar uma consulta/encontro | L5 |
| passer Noël en famille | passar o Natal em família | L5 |
| visite guidée | visita guiada | L5 |
| viande de bœuf | carne bovina | L5 |
| viande de porc | carne de porco | L5 |
| venir de (faire qqch) | acabar de (fazer algo) | L5 |
| avoir faim | ter fome | L6 |
| avoir soif | ter sede | L6 |
| avoir sommeil | estar com sono | L6 |
| avoir envie de | ter vontade de | L6 |
| avoir peur de | ter medo de | L6 |
| avoir confiance en | ter confiança em | L6 |
| avoir mal à la tête | ter dor de cabeça | L6 |
| avoir de la fièvre | ter febre | L6 |
| être en avance | estar adiantado | L6 |
| être en retard | estar atrasado | L6 |
| être à l'heure | estar na hora certa | L6 |
| être malade | estar doente | L6 |
| être en vacances | estar de férias | L6 |
| être en forme | estar em forma | L6 |
| faire les courses | fazer as compras | L6 |
| faire la cuisine | cozinhar | L6 |
| faire la vaisselle | lavar a louça | L6 |
| faire le ménage | fazer a faxina | L6 |
| faire ses devoirs | fazer as tarefas de casa | L6 |
| faire un cadeau | presentear | L6 |
| faire un choix | fazer uma escolha | L6 |
| faire une demande | fazer um pedido | L6 |
| mettre la table | pôr a mesa | L6 |
| mettre le couvert | pôr a mesa (talheres) | L6 |
| jouer à | jogar (esporte/jogo) | L6 |
| jouer de | tocar (instrumento) | L6 |
| jouer dans | atuar em (filme/peça) | L6 |
| participer à | participar de | L6 |
| demander de l'aide | pedir ajuda | L6 |
| demander une faveur | pedir um favor | L6 |
| donner un coup de main | dar uma mão | L6 |
| avoir une idée | ter uma ideia | L6 |
| croire en | acreditar em | L6 |
| compter jusqu'à 10 | contar até 10 | L6 |
| c'est vrai/faux | é verdade/falso | L6 |
| ça veut dire | quer dizer | L6 |
| bien sûr | claro, com certeza | L6 |
| pas du tout | não mesmo | L6 |
| tout de suite | imediatamente | L6 |
| en ce moment | neste momento | L6 |
| par hasard | por acaso | L6 |
| en général | em geral, geralmente | L6 |
| l'année dernière | ano passado | L6 |
| l'année prochaine | ano que vem | L6 |
| le mois dernier | mês passado | L6 |
| le mois prochain | mês que vem | L6 |
| cette année | este ano | L6 |
| du lundi au vendredi | de segunda a sexta | L6 |
| aller simple | ida (bilhete) | L6 |
| aller-retour | ida e volta | L6 |
| faire le tour du monde | dar a volta ao mundo | L6 |
| être en panne | estar quebrado/em pane | L6 |
| en haut | no alto, em cima | L6 |
| en bas | embaixo | L6 |
| à droite | à direita | L6 |
| à gauche | à esquerda | L6 |

Este agrupamento considera frequência de uso, complexidade gramatical, abstração e especificidade cultural dos termos.

